INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'vgg16', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/vgg16', 'checkpoint_path': './checkpoints/imagenet_caltech256/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.00047839,  Average loss: 0.0430, Accuracy: 0.7307
INFO:root:Test set: LR: 0.00047565,  Average loss: 0.0437, Accuracy: 0.7276
INFO:root:Test set: LR: 0.00047275,  Average loss: 0.0437, Accuracy: 0.7331
INFO:root:Test set: LR: 0.00046970,  Average loss: 0.0434, Accuracy: 0.7257
INFO:root:Test set: LR: 0.00046651,  Average loss: 0.0432, Accuracy: 0.7279
INFO:root:Test set: LR: 0.00046316,  Average loss: 0.0440, Accuracy: 0.7304
INFO:root:Test set: LR: 0.00045967,  Average loss: 0.0441, Accuracy: 0.7302
INFO:root:Test set: LR: 0.00045603,  Average loss: 0.0437, Accuracy: 0.7293
INFO:root:Test set: LR: 0.00045225,  Average loss: 0.0442, Accuracy: 0.7257
INFO:root:Test set: LR: 0.00044834,  Average loss: 0.0444, Accuracy: 0.7327
INFO:root:Test set: LR: 0.00044429,  Average loss: 0.0437, Accuracy: 0.7345
INFO:root:Test set: LR: 0.00044010,  Average loss: 0.0441, Accuracy: 0.7325
INFO:root:Test set: LR: 0.00043579,  Average loss: 0.0438, Accuracy: 0.7328
INFO:root:Test set: LR: 0.00043134,  Average loss: 0.0444, Accuracy: 0.7265
INFO:root:Test set: LR: 0.00042678,  Average loss: 0.0447, Accuracy: 0.7277
INFO:root:Test set: LR: 0.00042209,  Average loss: 0.0432, Accuracy: 0.7285
INFO:root:Test set: LR: 0.00041728,  Average loss: 0.0437, Accuracy: 0.7291
INFO:root:Test set: LR: 0.00041236,  Average loss: 0.0439, Accuracy: 0.7280
INFO:root:Test set: LR: 0.00040733,  Average loss: 0.0441, Accuracy: 0.7268
INFO:root:Test set: LR: 0.00040219,  Average loss: 0.0439, Accuracy: 0.7291
INFO:root:Test set: LR: 0.00039695,  Average loss: 0.0440, Accuracy: 0.7314
INFO:root:Test set: LR: 0.00039160,  Average loss: 0.0434, Accuracy: 0.7282
INFO:root:Test set: LR: 0.00038616,  Average loss: 0.0443, Accuracy: 0.7274
INFO:root:Test set: LR: 0.00038062,  Average loss: 0.0444, Accuracy: 0.7302
INFO:root:Test set: LR: 0.00037500,  Average loss: 0.0444, Accuracy: 0.7287
INFO:root:Test set: LR: 0.00036929,  Average loss: 0.0438, Accuracy: 0.7284
INFO:root:Test set: LR: 0.00036350,  Average loss: 0.0442, Accuracy: 0.7267
INFO:root:Test set: LR: 0.00035763,  Average loss: 0.0436, Accuracy: 0.7342
INFO:root:Test set: LR: 0.00035168,  Average loss: 0.0439, Accuracy: 0.7310
INFO:root:Test set: LR: 0.00034567,  Average loss: 0.0436, Accuracy: 0.7316
INFO:root:Test set: LR: 0.00033959,  Average loss: 0.0438, Accuracy: 0.7314
INFO:root:Test set: LR: 0.00033345,  Average loss: 0.0436, Accuracy: 0.7342
INFO:root:Test set: LR: 0.00032725,  Average loss: 0.0440, Accuracy: 0.7296
INFO:root:Test set: LR: 0.00032100,  Average loss: 0.0435, Accuracy: 0.7322
INFO:root:Test set: LR: 0.00031470,  Average loss: 0.0442, Accuracy: 0.7280
INFO:root:Test set: LR: 0.00030836,  Average loss: 0.0441, Accuracy: 0.7273
