INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'resnet50', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/resnet50', 'checkpoint_path': './checkpoints/domainnet/real/resnet50', 'checkpoint_save_step': 5, 'log_path': './log/resnet50/domainnet/real/log1.log', 'end_epoch': 300, 'gpu_id': '1'}
INFO:root:Test set: LR: 0.00712890,  Average loss: 0.0473, Accuracy: 0.8014
INFO:root:Test set: LR: 0.00708140,  Average loss: 0.0513, Accuracy: 0.7909
INFO:root:Test set: LR: 0.00703368,  Average loss: 0.0448, Accuracy: 0.8171
INFO:root:Test set: LR: 0.00703368,  Average loss: 0.0515, Accuracy: 0.7899
INFO:root:Test set: LR: 0.00698574,  Average loss: 0.0475, Accuracy: 0.8060
INFO:root:Test set: LR: 0.00693758,  Average loss: 0.0453, Accuracy: 0.8088
INFO:root:Test set: LR: 0.00688920,  Average loss: 0.0446, Accuracy: 0.8166
INFO:root:Test set: LR: 0.00684062,  Average loss: 0.0433, Accuracy: 0.8247
INFO:root:Test set: LR: 0.00684062,  Average loss: 0.0493, Accuracy: 0.7914
INFO:root:Test set: LR: 0.00679184,  Average loss: 0.0488, Accuracy: 0.7985
INFO:root:Test set: LR: 0.00674286,  Average loss: 0.0513, Accuracy: 0.7840
INFO:root:Test set: LR: 0.00669369,  Average loss: 0.0416, Accuracy: 0.8257
INFO:root:Test set: LR: 0.00669369,  Average loss: 0.0468, Accuracy: 0.8030
INFO:root:Test set: LR: 0.00664433,  Average loss: 0.0500, Accuracy: 0.7944
INFO:root:Test set: LR: 0.00659480,  Average loss: 0.0433, Accuracy: 0.8188
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0459, Accuracy: 0.8101
INFO:root:Test set: LR: 0.00649520,  Average loss: 0.0485, Accuracy: 0.7988
INFO:root:Test set: LR: 0.00644516,  Average loss: 0.0452, Accuracy: 0.8155
INFO:root:Test set: LR: 0.00639496,  Average loss: 0.0454, Accuracy: 0.8144
INFO:root:Test set: LR: 0.00634460,  Average loss: 0.0418, Accuracy: 0.8286
INFO:root:Test set: LR: 0.00634460,  Average loss: 0.0437, Accuracy: 0.8245
INFO:root:Test set: LR: 0.00629410,  Average loss: 0.0451, Accuracy: 0.8170
INFO:root:Test set: LR: 0.00624345,  Average loss: 0.0445, Accuracy: 0.8239
INFO:root:Test set: LR: 0.00619267,  Average loss: 0.0436, Accuracy: 0.8266
INFO:root:Test set: LR: 0.00614175,  Average loss: 0.0519, Accuracy: 0.7819
INFO:root:Test set: LR: 0.00609072,  Average loss: 0.0469, Accuracy: 0.8116
INFO:root:Test set: LR: 0.00603956,  Average loss: 0.0462, Accuracy: 0.8132
INFO:root:Test set: LR: 0.00598829,  Average loss: 0.0489, Accuracy: 0.8004
INFO:root:Test set: LR: 0.00593691,  Average loss: 0.0437, Accuracy: 0.8173
INFO:root:Test set: LR: 0.00588542,  Average loss: 0.0430, Accuracy: 0.8224
INFO:root:Test set: LR: 0.00583384,  Average loss: 0.0421, Accuracy: 0.8253
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0442, Accuracy: 0.8234
INFO:root:Test set: LR: 0.00573042,  Average loss: 0.0410, Accuracy: 0.8312
INFO:root:Test set: LR: 0.00573042,  Average loss: 0.0441, Accuracy: 0.8191
