INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0733, Accuracy: 0.6816
INFO:root:Test set: LR: 0.00578217,  Average loss: 0.0753, Accuracy: 0.6715
INFO:root:Test set: LR: 0.00573042,  Average loss: 0.0722, Accuracy: 0.6869
INFO:root:Test set: LR: 0.00573042,  Average loss: 0.0756, Accuracy: 0.6664
INFO:root:Test set: LR: 0.00567858,  Average loss: 0.0733, Accuracy: 0.6723
INFO:root:Test set: LR: 0.00562667,  Average loss: 0.0772, Accuracy: 0.6625
INFO:root:Test set: LR: 0.00557469,  Average loss: 0.0720, Accuracy: 0.6772
INFO:root:Test set: LR: 0.00552264,  Average loss: 0.0709, Accuracy: 0.6862
INFO:root:Test set: LR: 0.00547054,  Average loss: 0.0728, Accuracy: 0.6739
INFO:root:Test set: LR: 0.00541839,  Average loss: 0.0735, Accuracy: 0.6693
INFO:root:Test set: LR: 0.00536619,  Average loss: 0.0752, Accuracy: 0.6659
INFO:root:Test set: LR: 0.00531395,  Average loss: 0.0742, Accuracy: 0.6736
INFO:root:Test set: LR: 0.00526168,  Average loss: 0.0708, Accuracy: 0.6836
INFO:root:Test set: LR: 0.00520938,  Average loss: 0.0725, Accuracy: 0.6766
INFO:root:Test set: LR: 0.00515705,  Average loss: 0.0733, Accuracy: 0.6762
INFO:root:Test set: LR: 0.00510471,  Average loss: 0.0736, Accuracy: 0.6769
INFO:root:Test set: LR: 0.00505236,  Average loss: 0.0707, Accuracy: 0.6847
INFO:root:Test set: LR: 0.00500000,  Average loss: 0.0723, Accuracy: 0.6793
INFO:root:Test set: LR: 0.00494764,  Average loss: 0.0693, Accuracy: 0.6911
INFO:root:Test set: LR: 0.00494764,  Average loss: 0.0722, Accuracy: 0.6913
INFO:root:Test set: LR: 0.00494764,  Average loss: 0.0715, Accuracy: 0.6813
INFO:root:Test set: LR: 0.00489529,  Average loss: 0.0723, Accuracy: 0.6826
INFO:root:Test set: LR: 0.00484295,  Average loss: 0.0695, Accuracy: 0.6898
INFO:root:Test set: LR: 0.00479062,  Average loss: 0.0713, Accuracy: 0.6862
INFO:root:Test set: LR: 0.00473832,  Average loss: 0.0699, Accuracy: 0.6883
INFO:root:Test set: LR: 0.00468605,  Average loss: 0.0704, Accuracy: 0.6911
INFO:root:Test set: LR: 0.00463381,  Average loss: 0.0705, Accuracy: 0.6872
INFO:root:Test set: LR: 0.00458161,  Average loss: 0.0728, Accuracy: 0.6752
INFO:root:Test set: LR: 0.00452946,  Average loss: 0.0686, Accuracy: 0.7000
INFO:root:Test set: LR: 0.00452946,  Average loss: 0.0696, Accuracy: 0.6962
INFO:root:Test set: LR: 0.00447736,  Average loss: 0.0702, Accuracy: 0.6915
INFO:root:Test set: LR: 0.00442531,  Average loss: 0.0698, Accuracy: 0.6890
INFO:root:Test set: LR: 0.00437333,  Average loss: 0.0692, Accuracy: 0.6982
INFO:root:Test set: LR: 0.00432142,  Average loss: 0.0716, Accuracy: 0.6865
INFO:root:Test set: LR: 0.00426958,  Average loss: 0.0686, Accuracy: 0.6947
INFO:root:Test set: LR: 0.00421783,  Average loss: 0.0694, Accuracy: 0.6965
INFO:root:Test set: LR: 0.00416616,  Average loss: 0.0719, Accuracy: 0.6815
INFO:root:Test set: LR: 0.00411458,  Average loss: 0.0660, Accuracy: 0.7067
INFO:root:Test set: LR: 0.00411458,  Average loss: 0.0699, Accuracy: 0.6957
INFO:root:Test set: LR: 0.00406309,  Average loss: 0.0678, Accuracy: 0.6975
INFO:root:Test set: LR: 0.00401171,  Average loss: 0.0669, Accuracy: 0.7034
INFO:root:Test set: LR: 0.00396044,  Average loss: 0.0671, Accuracy: 0.7067
